var1,var2,gamma,threshold
mNegative,ERStotal,N/A,none
stdPositive,ERStotal,N/A,none
stdNegative,ERStotal,N/A,none
mPositive,GADtotal,N/A,none
mNegative,GADtotal,N/A,none
stdPositive,GADtotal,N/A,none
stdNegative,GADtotal,N/A,none
mPositive,PSStotal,N/A,none
mNegative,PSStotal,N/A,none
stdPositive,PSStotal,N/A,none
stdNegative,PSStotal,N/A,none
mPositive,PHQ15total,N/A,none
mNegative,PHQ15total,N/A,none
stdPositive,PHQ15total,N/A,none
stdNegative,PHQ15total,N/A,none
mPositive,PHQ8total,N/A,none
mNegative,PHQ8total,N/A,none
stdPositive,PHQ8total,N/A,none
stdNegative,PHQ8total,N/A,none
mPositive,neuroticism,N/A,none
mNegative,neuroticism,N/A,none
stdPositive,neuroticism,N/A,none
stdNegative,neuroticism,N/A,none
commRadius,ASItotal,default,none
commRadius,ASItotal,default,T1
commRadius,ASItotal,default,T2
commRadius,ERStotal,default,none
commRadius,ERStotal,default,T1
commRadius,ERStotal,default,T2
commRadius,GADtotal,default,none
commRadius,GADtotal,default,T1
commRadius,GADtotal,default,T2
commRadius,PSStotal,default,none
commRadius,PSStotal,default,T1
commRadius,PSStotal,default,T2
commRadius,PHQ15total,default,none
commRadius,PHQ15total,default,T1
commRadius,PHQ15total,default,T2
commRadius,PHQ8total,default,none
commRadius,PHQ8total,default,T1
commRadius,PHQ8total,default,T2
commRadius,neuroticism,default,none
commRadius,neuroticism,default,T1
commRadius,neuroticism,default,T2
