var1,var2,gamma,threshold
BAItotal,numCommunities,default,none
BAItotal,numCommunities,default,T1
BAItotal,numCommunities,default,T2
BAItotal,globalClustering,N/A,none
BAItotal,globalClustering,N/A,T1
BAItotal,globalClustering,N/A,T2
BAItotal,networkDensity,N/A,T1
BAItotal,networkDensity,N/A,T2
BAItotal,posParticipation,default,none
BAItotal,posParticipation,default,T1
BAItotal,negParticipation,default,none
BAItotal,negParticipation,default,T1
BAItotal,posGatewayNode,default,none
BAItotal,posGatewayNode,default,T1
BAItotal,negGatewayNode,default,none
BAItotal,negGatewayNode,default,T1
BAItotal,posDiversity,default,none
BAItotal,posDiversity,default,T1
BAItotal,negDiversity,default,none
BAItotal,negDiversity,default,T1
BDItotal,numCommunities,default,none
BDItotal,numCommunities,default,T1
BDItotal,numCommunities,default,T2
BDItotal,globalClustering,N/A,none
BDItotal,globalClustering,N/A,T1
BDItotal,globalClustering,N/A,T2
BDItotal,networkDensity,N/A,T1
BDItotal,networkDensity,N/A,T2
BDItotal,posParticipation,default,none
BDItotal,posParticipation,default,T1
BDItotal,negParticipation,default,none
BDItotal,negParticipation,default,T1
BDItotal,posGatewayNode,default,none
BDItotal,posGatewayNode,default,T1
BDItotal,negGatewayNode,default,none
BDItotal,negGatewayNode,default,T1
BDItotal,posDiversity,default,none
BDItotal,posDiversity,default,T1
BDItotal,negDiversity,default,none
BDItotal,negDiversity,default,T1
SWLStotal,numCommunities,default,none
SWLStotal,numCommunities,default,T1
SWLStotal,numCommunities,default,T2
SWLStotal,globalClustering,N/A,none
SWLStotal,globalClustering,N/A,T1
SWLStotal,globalClustering,N/A,T2
SWLStotal,networkDensity,N/A,T1
SWLStotal,networkDensity,N/A,T2
SWLStotal,posParticipation,default,none
SWLStotal,posParticipation,default,T1
SWLStotal,negParticipation,default,none
SWLStotal,negParticipation,default,T1
SWLStotal,posGatewayNode,default,none
SWLStotal,posGatewayNode,default,T1
SWLStotal,negGatewayNode,default,none
SWLStotal,negGatewayNode,default,T1
SWLStotal,posDiversity,default,none
SWLStotal,posDiversity,default,T1
SWLStotal,negDiversity,default,none
SWLStotal,negDiversity,default,T1
BAItotal,modularity,default,none
BAItotal,modularity,default,T1
BAItotal,modularity,default,T2
BAItotal,modularityVA,default,none
BAItotal,modularityVA,default,T1
BAItotal,modularityVA,default,T2
BAItotal,networkDensityW,N/A,none
BAItotal,networkDensityW,N/A,T1
BAItotal,networkDensityW,N/A,T2
BDItotal,modularity,default,none
BDItotal,modularity,default,T1
BDItotal,modularity,default,T2
BDItotal,modularityVA,default,none
BDItotal,modularityVA,default,T1
BDItotal,modularityVA,default,T2
BDItotal,networkDensityW,N/A,none
BDItotal,networkDensityW,N/A,T1
BDItotal,networkDensityW,N/A,T2
SWLStotal,modularity,default,none
SWLStotal,modularity,default,T1
SWLStotal,modularity,default,T2
SWLStotal,modularityVA,default,none
SWLStotal,modularityVA,default,T1
SWLStotal,modularityVA,default,T2
SWLStotal,networkDensityW,N/A,none
SWLStotal,networkDensityW,N/A,T1
SWLStotal,networkDensityW,N/A,T2
zICC,BAItotal,N/A,none
zICC,BDItotal,N/A,none
zICC,SWLStotal,N/A,none
mPositive,BAItotal,N/A,none
mNegative,BAItotal,N/A,none
stdPositive,BAItotal,N/A,none
stdNegative,BAItotal,N/A,none
mPositive,BDItotal,N/A,none
mNegative,BDItotal,N/A,none
stdPositive,BDItotal,N/A,none
stdNegative,BDItotal,N/A,none
mPositive,SWLStotal,N/A,none
mNegative,SWLStotal,N/A,none
stdPositive,SWLStotal,N/A,none
stdNegative,SWLStotal,N/A,none
commRadius,BAItotal,default,none
commRadius,BAItotal,default,T1
commRadius,BAItotal,default,T2
commRadius,BDItotal,default,none
commRadius,BDItotal,default,T1
commRadius,BDItotal,default,T2
commRadius,SWLStotal,default,none
commRadius,SWLStotal,default,T1
commRadius,SWLStotal,default,T2
